country,continent,stamp_emoji,stamp_label,flag_fact,hero_emoji,hero_image_path,hero_image_url,hero_image_alt,hero_image_credit
Mexico,North America,🏔️,Aztec Pyramids,The eagle on Mexico's flag is eating a snake — from an ancient Aztec legend about where to found a great city!,🦅🏔️🌮,,,,
South Africa,Africa,🦁,The Lion,South Africa's flag has 6 colors and a unique Y-shape — no other flag in the world looks like it! It represents unity of the people.,🦁🌍🏔️,assets/country_hero/south_africa.jpg,,Lions on the African savanna,
South Korea,Asia,🥋,Taekwondo,"Korea's flag shows the yin-yang symbol and 4 ancient trigrams representing sky, water, fire, and earth!",🥋🌸🏯,,,,
Czechia,Europe,🏰,Prague Castle,The Czech flag's distinctive blue triangle was added in 1920 — before that it was just plain red and white stripes.,🏰🍺🌉,,,,
Canada,North America,🍁,Maple Leaf,"Canada's red maple leaf flag only became official in 1965 — before that, Canada used the British Union Jack!",🍁🐻‍❄️🏔️,,,,
Bosnia and Herzegovina,Europe,🌉,Stari Most Bridge,The triangle on Bosnia's flag represents the three main communities. The stars along the edge are infinite — they're cut off at both ends!,🌉🏔️🦋,,,,
Qatar,Asia,🕌,Desert Mosque,Qatar's flag is maroon (not red!) with a serrated edge — it's the only national flag in the world with 9 points on its side.,🕌🏜️⛵,,,,
Switzerland,Europe,🏔️,The Matterhorn,Switzerland has one of only TWO square flags in the world (Vatican City is the other). The white cross on red dates back to the 1300s!,🏔️🍫⌚,,,,
Brazil,South America,🌴,Amazon Rainforest,The stars on Brazil's flag show the exact position of stars in the sky on November 15 1889 — the night Brazil became a republic!,🌴🦜🥁,,,,
Morocco,Africa,🏺,Moroccan Tagine,Morocco's green Star of Solomon in the center is one of the oldest Islamic symbols — it has been used for centuries.,🐪🏺🌅,,,,
Haiti,North America,🏴,Independence Flag,Haitian revolutionaries tore the white strip from a French flag and sewed blue and red together — creating their own flag to represent freedom!,🏝️🌺🥁,,,,
Scotland,Europe,🏰,Edinburgh Castle,Scotland's white X on blue (Saint Andrew's Cross) may be the oldest national flag in Europe — legend says it dates back to 832 AD!,🏰⛳🥃,,,,
USA,North America,🗽,Statue of Liberty,The US flag has 50 stars (one per state) and 13 stripes (for the original colonies). It has been redesigned 27 times as new states joined!,🗽🦅🌆,,,,
Paraguay,South America,🦜,Jungle Parrot,Paraguay's flag is the ONLY national flag in the world that has different emblems on the front and back — totally unique!,🦜🌿🐾,,,,
Australia,Oceania,🦘,Kangaroo,Australia's flag has the Union Jack the Southern Cross constellation AND a star with 7 points for its 6 states and territories!,🦘🪃🏖️,,,,
Türkiye,Europe,🎈,Cappadocia Balloon,The Turkish crescent and star symbol is over 2000 years old — it is one of the most recognized symbols in the entire world.,🎈🕌🌙,,,,
Germany,Europe,🏰,Neuschwanstein,Germany's black red and gold have been national colors since the 1800s — they represented freedom fighters against oppression!,🏰🚗🍺,,,,
Curaçao,North America,🏖️,Colorful Waterfront,Curaçao's flag has two yellow stars representing the main island and tiny Klein Curaçao — a beautiful little uninhabited island.,🏖️🐢🌊,,,,
Ivory Coast,Africa,🍫,Cocoa Tree,Ivory Coast's orange white and green flag is similar to Ireland's but in reverse order — orange for savannas white for peace green for forests!,🍫🐘🌴,,,,
Ecuador,South America,🐢,Galápagos Tortoise,Ecuador shares its yellow blue and red colors with Colombia and Venezuela — they were once all one country called Gran Colombia!,🐢🌋🌺,,,,
Netherlands,Europe,🌷,Tulip,The original Dutch flag was orange white and blue — but the orange kept fading to red in the sun so the red version became official!,🌷⚙️🌊,,,,
Japan,Asia,🗻,Mount Fuji,Japan's flag is one of the simplest in the world — a red circle (the sun) on white. Japan is called the Land of the Rising Sun!,🗻🌸🎮,,,,
Sweden,Europe,🫎,Swedish Moose,Sweden's gold cross on blue comes from a legend — in 1157 AD a golden cross appeared in the sky before a great battle!,🫎🎵❄️,,,,
Tunisia,Africa,🏛️,Carthage Ruins,Tunisia's crescent and star design dates back to the Ottoman Empire — Tunisia has used versions of this symbol for many centuries.,🏛️🐪🌊,,,,
Belgium,Europe,🍫,Belgian Chocolate,Belgium's black yellow and red came from the medieval Duchy of Brabant — a lion on an ancient flag inspired the national colors!,🍫🍟🏰,,,,
Egypt,Africa,🏛️,Great Pyramid,Egypt's golden Eagle of Saladin on the flag is named after the famous medieval Muslim leader who stood against the Crusaders!,🏛️🐫🌊,,,,
Iran,Asia,🏺,Persian Carpet,Iran's flag has a complex emblem that combines a sword a tulip and the word Allah all in one beautiful design.,🏺🌺🕌,,,,
New Zealand,Oceania,🥝,Kiwi Bird,New Zealanders voted in a 2016 referendum on whether to change the flag — they chose to keep the Union Jack and Southern Cross design!,🥝🧝🏔️,,,,
Spain,Europe,💃,Flamenco Dancer,Spain's coat of arms includes a castle a lion and a pomegranate — the pomegranate is for Granada the last Moorish city reconquered in 1492!,💃🥘🏰,,,,
