name,country_code,flag_emoji,group_letter,confederation,fifa_ranking,coach,captain,capital,population,languages,currency,wc_appearances,best_finish,fun_fact,animals,foods,landmarks,cheer_reasons,mls_connections,key_players
Mexico,MX,🇲🇽,A,CONCACAF,15,Javier Aguirre,Raúl Jiménez,Mexico City,130 million,Spanish,Mexican Peso,17,Quarterfinals,"Mexico is home to ancient Aztec pyramids and has over 30 UNESCO World Heritage Sites!","Jaguar|Golden Eagle|Axolotl|Monarch Butterfly","Tacos 🌮|Guacamole 🥑|Tamales|Elotes (street corn)","Chichen Itza|Teotihuacan|Copper Canyon|Mexico City Cathedral","Tacos 🌮|Ancient pyramids 🏛️|Jaguars 🐆|Host country 🏟️|Lucha libre wrestling 🤼","Many Liga MX players; Javier Hernández played for LA Galaxy","Raúl Jiménez (FW)|Santiago Giménez (FW)|Edson Álvarez (MF)|Guillermo Ochoa (GK)"
South Africa,ZA,🇿🇦,A,CAF,35,Hugo Broos,Ronwen Williams,Pretoria,60 million,11 official languages,South African Rand,4,Group Stage,"South Africa hosted the 2010 World Cup — the first ever held on the African continent! And vuvuzelas were born!","Lion|Elephant|Rhinoceros|Cheetah|Giraffe","Braai (BBQ) 🔥|Bobotie|Biltong|Bunny Chow","Table Mountain|Kruger National Park|Robben Island|Cape of Good Hope","Lions 🦁|Safaris 🐘|Hosted 2010 World Cup 🏆|Amazing music & dance 🎵|Nelson Mandela's home country","Limited MLS presence","Ronwen Williams (GK)|Percy Tau (FW)|Themba Zwane (MF)|Bongani Zungu (MF)"
South Korea,KR,🇰🇷,A,AFC,27,Hong Myung-bo,Kim Min-jae,Seoul,52 million,Korean,South Korean Won,11,4th Place (2002),"South Korea co-hosted the 2002 World Cup and shocked the world by reaching the semifinals — beating Spain and Italy!","Siberian Tiger|Korean Magpie|Asian Black Bear","Kimchi|K-BBQ 🥩|Bibimbap|Tteokbokki (spicy rice cakes)","Gyeongbokgung Palace|Jeju Island|DMZ|Bukchon Hanok Village","K-pop 🎵|Taekwondo 🥋|Video games 🎮|4th place in 2002 🏆|Amazing food 🥢","Kim Min-jae played for Napoli/Bayern Munich; Cho Gue-sung linked to MLS","Kim Min-jae (DEF)|Son Heung-min (FW)|Lee Kang-in (MF)|Kim Seung-gyu (GK)"
Czechia,CZ,🇨🇿,A,UEFA,36,Ivan Hašek,Tomáš Souček,Prague,10.7 million,Czech,Czech Koruna,7,Runner-up (as Czechoslovakia 1962),"Prague is one of the most beautiful cities in Europe — it survived both World Wars almost completely intact!","European Brown Bear|White-tailed Eagle|Red Deer","Svíčková (beef with cream sauce)|Trdelník (chimney cake)|Pilsner beer|Goulash","Prague Castle|Charles Bridge|Old Town Square|Bohemian Switzerland National Park","Prague 🏰|Beer 🍺|Ice hockey legends ⛸️|Beautiful castles|Václav Havel's homeland","Tomáš Souček played for West Ham; Adam Hložek at Leverkusen","Tomáš Souček (MF)|Patrik Schick (FW)|Vladimír Coufal (DEF)|Jiří Pavlenka (GK)"
Canada,CA,🇨🇦,B,CONCACAF,35,Jesse Marsch,Alphonso Davies,Ottawa,40 million,English & French,Canadian Dollar,3,Group Stage (2022),"Canada qualified for the 2022 World Cup for the first time since 1986 — led by one of the world's most exciting young players!","Beaver|Moose|Polar Bear|Orca|Canada Goose","Poutine 🍟🧀|Butter Tarts|Maple Syrup 🍁|Nanaimo Bars","CN Tower|Niagara Falls|Banff National Park|Parliament Hill","Maple syrup 🍁|Niagara Falls 💦|Polar bears 🐻‍❄️|Co-hosting this World Cup 🏟️|Alphonso Davies is a superstar ⭐","Lots of MLS players including Jonathan David (LAFC connection); many TFC players","Alphonso Davies (DEF)|Jonathan David (FW)|Tajon Buchanan (MF)|Milan Borjan (GK)"
Bosnia and Herzegovina,BA,🇧🇦,B,UEFA,60,Sergej Barbarez,Edin Džeko,Sarajevo,3.2 million,Bosnian & Croatian & Serbian,Bosnian Convertible Mark,2,Group Stage (2014),"Bosnia and Herzegovina has the stunning Stari Most bridge in Mostar — rebuilt after the war as a symbol of hope and peace!","Brown Bear|Lynx|Chamois|Dalmatian Pelican","Ćevapi (grilled sausages)|Burek (meat pastry)|Bosanski Lonac (meat stew)|Baklava","Stari Most Bridge|Sarajevo Old Town|Una River|Blagaj Monastery","Stari Most bridge 🌉|Ćevapi (best grilled meat ever!) 🥩|Comeback story 💪|Beautiful mountains 🏔️|History of resilience","Edin Džeko played in MLS with Inter Miami","Edin Džeko (FW)|Miralem Pjanić (MF)|Sead Kolašinac (DEF)|Kenan Pirić (GK)"
Qatar,QA,🇶🇦,B,AFC,58,Marquez Lopez,Hassan Al-Haydos,Doha,3 million,Arabic,Qatari Riyal,2,Group Stage (2022),"Qatar hosted the 2022 World Cup — the first World Cup in a Middle Eastern country! They built seven brand-new stadiums for it!","Arabian Oryx|Dugong|Sooty Falcon|Arabian Leopard","Machboos (spiced rice & meat)|Harees|Luqaimat (sweet dumplings)|Kabsa","Museum of Islamic Art|Souq Waqif|The Pearl|Lusail Stadium","Hosted the 2022 World Cup 🏆|Arabian Oryx 🦌|Pearl diving history 🤿|Stunning modern architecture 🏙️|Desert adventures 🏜️","Limited MLS connections; league mostly domestic","Hassan Al-Haydos (FW)|Almoez Ali (FW)|Salmin Alkuwari (MF)|Saad Al Sheeb (GK)"
Switzerland,CH,🇨🇭,B,UEFA,17,Murat Yakin,Granit Xhaka,Bern,8.7 million,German & French & Italian & Romansh,Swiss Franc,12,Quarterfinals (1954),"Switzerland has 4 national languages and has been neutral in wars for over 200 years — they invented the Swiss Army Knife!","Ibex|Marmot|Golden Eagle|St. Bernard dog","Fondue 🧀|Raclette|Swiss chocolate 🍫|Rösti (potato cake)","Matterhorn|Lake Geneva|Château de Chillon|Jungfrau","Chocolate 🍫|Skiing ⛷️|Alps 🏔️|Watches ⌚|World's most famous knife 🔪","Granit Xhaka (Arsenal/formerly MLS-linked); Xherdan Shaqiri played for Chicago Fire","Granit Xhaka (MF)|Xherdan Shaqiri (FW)|Yann Sommer (GK)|Manuel Akanji (DEF)"
Brazil,BR,🇧🇷,C,CONMEBOL,5,Dorival Júnior,Marquinhos,Brasília,215 million,Portuguese,Brazilian Real,22,Winner (1958|1962|1970|1994|2002),"Brazil is the ONLY country to have played in every single World Cup ever — and they've won it 5 times! Nobody beats that!","Toucan|Jaguar|Capybara|Poison Dart Frog|Amazon River Dolphin","Churrasco (BBQ) 🔥|Brigadeiro (chocolate truffle)|Açaí|Feijoada (bean stew)","Christ the Redeemer|Amazon Rainforest|Iguazu Falls|Copacabana Beach","Won the World Cup 5 TIMES 🏆|Samba dancing 💃|Amazon rainforest 🌿|Carnaval 🎉|Rodney Dourado is amazing 🌟","Many Brazilians in MLS; former stars like Kaká played for Orlando City","Marquinhos (DEF)|Vinicius Jr (FW)|Rodrygo (FW)|Alisson (GK)|Casemiro (MF)"
Morocco,MA,🇲🇦,C,CAF,11,Walid Regragui,Romain Saïss,Rabat,37 million,Arabic & Tamazight (Berber),Moroccan Dirham,8,4th Place (2022),"Morocco made history in 2022 as the first African team to reach the World Cup semifinals! The whole continent was cheering!","Barbary Lion (extinct but symbol)|Argan Tree Goat|Barbary Macaque|Desert Fox","Tagine 🏺|Couscous|Pastilla (sweet-savory pie)|Mint tea 🍵","Medina of Marrakech|Sahara Desert|Hassan II Mosque|Atlas Mountains","2022 semifinalists 🏆|Tagine food 🏺|Sahara Desert 🐪|Mint tea 🍵|Africa's best team ⭐","Hakim Ziyech (Chelsea/MLS rumors); several players in top European leagues","Hakim Ziyech (FW)|Achraf Hakimi (DEF)|Sofyan Amrabat (MF)|Yassine Bounou (GK)"
